mese,denominazione_regione,codice_regione,lat,long,notifiche_inviate,utenti_positivi
2021-09-30 00:01:00,Estero,-1,-1.0,-1.0,19,-1
2021-09-30 00:01:00,Lazio,12,41.964455604000015,12.741063440000003,189,12
2021-09-30 00:01:00,Molise,14,41.57287790000001,14.442457289999995,-1,-1
2021-09-30 00:01:00,Sardegna,20,39.86708043999999,8.823601131400004,106,94
2021-09-30 00:01:00,P.A. Trento,4,46.06893510999999,11.12123097,28,-1
2021-09-30 00:01:00,Calabria,18,38.81298014599998,16.344182868000004,33,-1
2021-09-30 00:01:00,Puglia,16,40.88008174833332,17.009317834999994,98,28
2021-09-30 00:01:00,Liguria,7,44.177938534999996,8.817461963,73,27
2021-09-30 00:01:00,Friuli Venezia Giulia,6,45.9019810475,13.321282225000003,91,32
2021-09-30 00:01:00,Lombardia,3,45.560785095833346,9.583767741666668,587,66
2021-09-30 00:01:00,Marche,11,43.36818951600001,13.436142726000009,106,47
2021-09-30 00:01:00,Emilia-Romagna,8,44.580836732222224,11.260342458444445,325,212
2021-09-30 00:01:00,P.A. Bolzano,4,46.49933452999996,11.35662422000001,61,-1
2021-09-30 00:01:00,Sicilia,19,37.576104758888874,14.274259175555565,344,712
2021-09-30 00:01:00,Valle d'Aosta,2,45.73750285999997,7.320149366000003,-1,-1
2021-09-30 00:01:00,Abruzzo,13,42.45643882750003,13.871007974999998,78,76
2021-09-30 00:01:00,Basilicata,17,40.653491145,16.201536379999997,35,23
2021-09-30 00:01:00,Campania,15,40.92723815999998,14.583892387999994,226,47
2021-09-30 00:01:00,Piemonte,1,45.1920620725,8.212714241625003,218,211
2021-09-30 00:01:00,Toscana,9,43.627712521999996,10.895122839999999,243,88
2021-09-30 00:01:00,Umbria,10,42.833735495,12.517467239999993,22,12
2021-09-30 00:01:00,Veneto,5,45.52924515142856,11.858031792857144,322,176
